Rating,Sector,currentRatio,quickRatio,cashRatio,daysOfSalesOutstanding,netProfitMargin,pretaxProfitMargin,grossProfitMargin,operatingProfitMargin,returnOnAssets,returnOnCapitalEmployed,returnOnEquity,assetTurnover,fixedAssetTurnover,debtEquityRatio,debtRatio,effectiveTaxRate,freeCashFlowOperatingCashFlowRatio,freeCashFlowPerShare,cashPerShare,companyEquityMultiplier,ebitPerRevenue,enterpriseValueMultiple,operatingCashFlowPerShare,operatingCashFlowSalesRatio,payablesTurnover
2,2,0.04049593144384821,0.3101050678148713,0.3671350289472375,0.8657463400826558,2.5304683586865524,2.4572827461812694,2.9323217190864,2.3668882273919465,2.99999951941201,2.9999926441083464,-0.33495431441561374,-1.8533401950109536,-1.7886152905159396,2.6990265318742725,2.590290957755684,2.278826622585923,2.8922995010216463,-0.0633142238964262,-1.7945279395785811,2.6990265318742725,2.4572827461812694,2.4015668284419194,0.2706442357356864,0.8151233227182505,0.5978183772907749
3,2,0.060134494915954545,0.3232870684982851,0.4981690378183649,0.8630976613027957,2.5304964128079317,2.4572810207031344,2.932295163244912,2.3669058073580356,2.9999996491697956,2.9999927103050283,-0.33493527124373174,-1.8520251836498627,-1.7853332003054114,2.698882070661423,2.549503241077996,2.27827247185506,2.8926731212814727,-0.0631558971520787,-1.7535976462346605,2.6988820706614236,2.4572810207031344,2.4014978757297762,0.270656827379342,0.815947581780034,0.5983352624561883
3,2,0.04455816656719419,0.3147583530461781,0.39906951002394725,0.8690964878044871,2.5304480219916936,2.457265228232776,2.932153865599011,2.3668821982440784,2.999999425540072,2.9999925665825438,-0.33516705073537806,-1.8546217073753946,-1.7914392392235825,2.6990412197789646,2.5933325258992554,2.278877506610755,2.892570087122778,-0.0630627484662582,-1.7762954333529124,2.6990412197789646,2.457265228232776,2.401963692510452,0.270764193233821,0.8166352242371175,0.5955372729723859
3,2,0.057121570267394665,0.32548072949186846,0.46758401744795014,0.8642026708978292,2.530397651654031,2.4570655085011266,2.931201817238562,2.366821618656518,2.9999993520293633,2.999992053530735,-0.33543145576031946,-1.8517580373942735,-1.7861280113453337,2.698962546923299,2.575033117182812,2.285723918557073,2.8902018986542624,-0.06399766782795671,-1.7691099770414709,2.698962546923299,2.4570655085011266,2.401222649677615,0.27033134483983906,0.8122124294326264,0.6014298811054812
3,2,0.04322585907802784,0.3227803972261684,0.42507849198691405,0.867545150269642,2.5304912949182166,2.4572981709363053,2.9323532882130414,2.366901646097163,2.999999575296558,2.999992671169288,-0.33481512984565537,-1.8535494256906277,-1.7891213547758285,2.699027340982112,2.590462486394199,2.278672596646973,2.892348957916823,-0.06328589437724252,-1.7700843200719103,2.699027340982112,2.4572981709363053,2.4017097250039874,0.27065299725261643,0.8150684266267328,0.5975555669401404
2,5,0.1927997680829738,0.45065226974844724,0.5170812300009758,0.8854217368270849,2.530785626489789,2.4576592625962497,2.933871580331452,2.367222296101773,2.9999999523905654,2.9999929099835048,-0.3350965455683029,-1.857888327998305,-1.8011134715682742,2.698646211995708,2.352702385255924,2.2790405455181246,2.893040700002184,-0.0634221016892814,-1.8178512236982767,2.698646211995708,2.4576592625962497,2.4018876176939483,0.27039433355899684,0.8312990103591095,0.5985603813392765
2,5,0.22348730583438814,0.4706410975645939,0.5531442081311471,0.8896491531726599,2.5309422677599613,2.457638079460662,2.933562413559939,2.367192559128008,3.000000158094391,2.9999928245422973,-0.3349179298296734,-1.8585204519522893,-1.8019497179667527,2.698634741463281,2.3296236723289,2.2791166089041752,2.892870318840582,-0.06352305470533315,-1.8146762042310576,2.698634741463281,2.457638079460662,2.4021540195446462,0.2703493093985302,0.8299835957011311,0.598309646505746
2,5,0.21846813407202603,0.480301423859177,0.4923007271886358,0.8885119180163072,2.530557552028675,2.457393963750918,2.9330469483163193,2.3669569993982886,2.999999403633962,2.9999924545343752,-0.33566508532986195,-1.8604029037213519,-1.8038439591259252,2.698670136018661,2.392575532631847,2.2790687407932415,2.893331592796344,-0.06346811455786969,-1.791834881835107,2.698670136018661,2.457393963750918,2.4025145134036903,0.2703330949360211,0.8329371171210318,0.5965182039462302
2,1,0.15053965816326054,0.42463624525802324,0.7100579733149919,0.8806362572079378,2.5307367877902056,2.4575941268148007,2.9351284838967415,2.367157160846066,3.0000000073014665,2.999993050920988,-0.33455889974836095,-1.8562547345345861,-1.7790721010797885,2.6987877556995947,2.5042137373153377,2.279107422996135,2.8935288154113303,-0.06353263591482926,-1.7918129300480885,2.6987877556995947,2.4575941268148007,2.4020105807860723,0.2702811791274492,0.8201171347729959,0.6062071329513078
2,1,0.0726554937337687,0.38277147943116113,0.5902717714665673,0.8817567127039486,2.5308352250259962,2.457706210766424,2.9360778436258466,2.367269243893055,3.000000118726881,2.999993248565384,-0.3343191947589741,-1.857199609027521,-1.7828101899815065,2.6988040839850806,2.513778480328059,2.2790907275358316,2.893606311539465,-0.06341829720336921,-1.7951908084721853,2.6988040839850806,2.457706210766424,2.4019487867113463,0.27033470662186077,0.8229873595192948,0.6025599972490895
2,1,0.15226381797031288,0.4282362683893762,0.7221102733181233,0.8796465946520731,2.5307567950678282,2.457614262869356,2.935353969296176,2.3671772967380855,3.0000000818206995,2.9999931330605487,-0.33445658082809593,-1.8559222985478856,-1.7786264058177714,2.698783157473341,2.5013505589177676,2.2790557903873823,2.8935313122195487,-0.06347135796831557,-1.7844872447082327,2.698783157473341,2.457614262869356,2.402004719254046,0.2703134210563306,0.8214095445787543,0.6057605517414875
